#NET STA   CHA LOC    LAT      LON       ELEV ONDATE     OFFDATE 
CE  14831 HNZ  --  33.79200 -118.31900    32 2002/02/21 2005/08/31
CE  14834 HNZ  --  33.92190 -118.32680    17 1999/11/05 3000/01/01
CE  14835 HNZ  --  33.78090 -118.26180     7 2005/01/04 3000/01/01
CE  14840 HNZ  --  33.94630 -118.00110    77 1999/11/03 3000/01/01
CE  14844 HNZ  --  33.96890 -118.14920    37 2003/01/07 3000/01/01
CE  14845 HNZ  --  33.78990 -118.29690    14 2003/06/26 3000/01/01
CE  14846 HNZ  --  33.81080 -118.27690    12 2000/11/16 3000/01/01
CE  14847 HNZ  --  33.82680 -118.21670     8 2001/01/30 3000/01/01
CE  14868 HNZ  --  33.80600 -118.16420    34 2003/03/05 3000/01/01
CE  14869 HNZ  --  33.81820 -118.10820     4 2003/03/05 3000/01/01
CE  14870 HNZ  --  33.79830 -118.13670     6 1999/11/02 3000/01/01
CE  14871 HNZ  --  33.76310 -118.16820     2 2002/03/06 3000/01/01
CE  14872 HNZ  --  33.87300 -118.17550    16 2003/03/06 3000/01/01
CE  14901 HL1  --  33.56200 -118.11700     0 2004/10/12 2008/07/16
CE  14934 HNZ  --  33.93860 -118.30050    66 2003/04/10 3000/01/01
CE  14935 HNZ  --  33.86750 -118.26180    23 2002/05/29 3000/01/01
CE  14936 HNZ  --  33.83370 -118.16080    22 2003/03/06 3000/01/01
CE  14937 HNZ  --  33.90510 -118.01130    49 2003/01/28 3000/01/01
CE  14985 HNZ  --  33.99140 -118.45940     3 2002/05/09 3000/01/01
CE  14988 HNZ  --  33.90900 -118.31480    14 2002/05/29 3000/01/01
NP  1571  HNZ  CB  37.33927 -121.85201    31 2000/11/29 3000/01/01
NP  1571  HNZ  D1  37.34130 -121.85140    30 1999/06/24 2014/08/29
NP  1571  HNZ  D2  37.34130 -121.85140    30 1999/06/24 2014/08/29
NP  1571  HNZ  D3  37.34130 -121.85140    30 1999/06/24 2014/08/29
NP  1575  HNZ  0B  36.85112 -121.40334    89 1999/08/04 3000/01/01
NP  1576  HNZ  --  37.56957 -118.75278     0 1996/07/11 2001/02/22
NP  1576  HNZ  --  37.56957 -118.75278  2139 2001/02/22 3000/01/01
